-0.196, -0.093, -1.01, -24.185, -96.794, 14.435
-0.11, -0.132, -0.928, 28.091, 25.269, 45.876
-0.149, -0.186, -0.902, -21.729, 12.604, -102.058
-0.206, -0.132, -0.881, -1.534, 22.736, -38.185
-0.059, -0.186, -0.908, 8.995, 5.211, -16.983
-0.168, -0.197, -0.971, -13.306, -91.415, 51.773
-0.29, -0.234, -0.891, 10.101, -15.854, 34.096
-0.403, 0.024, -0.861, 7.172, 7.82, -26.505
-0.274, -0.079, -0.909, 22.293, -34.119, 56.358
-0.383, -0.102, -0.86, 2.419, -15.007, 13.893
-0.483, -0.223, -0.873, 3.281, 13.779, 51.315
-0.271, -0.127, -0.893, -7.767, -12.413, -14.29
-0.328, -0.095, -0.871, 3.96, -7.271, -3.22
-0.322, -0.105, -0.869, 5.096, -3.525, 3.487
-0.297, -0.142, -0.738, -1.915, -3.967, -1.701
-0.255, -0.149, -0.904, -8.698, 23.262, -22.102
-0.305, -0.095, -0.888, 0.542, -1.457, -1.274
-0.308, -0.006, -0.841, 4.723, -1.183, 22.987
-0.303, -0.085, -0.889, 8.4, -2.197, 2.869
-0.308, -0.085, -0.855, 2.846, 1.472, 1.068
-0.298, -0.102, -0.882, 0.443, 2.678, -6.416
-0.295, -0.125, -0.887, 4.494, -13.336, 20.103
-0.309, -0.104, -0.889, -11.673, 14.9, -33.508
-0.282, -0.134, -0.881, 2.579, 2.739, 13.954
-0.29, -0.12, -0.882, 2.052, 1.694, -0.931
-0.269, -0.134, -0.886, 0.862, -0.053, -2.251
-0.281, -0.12, -0.876, -0.046, -1.274, 4.913
-0.329, -0.123, -0.885, 6.325, -6.073, 0.389
-0.308, -0.14, -0.821, -3.67, 1.038, 1.076
-0.132, -0.187, -0.901, -20.576, 12.901, 2.853
-0.257, -0.112, -0.916, 4.501, -6.676, 10.994
-0.262, -0.088, -0.952, -7.317, -40.176, 52.277
-0.311, -0.109, -0.874, -1.602, -4.898, 8.934
